INFO: setting server port as: 5001
INFO: Waiting for incoming connection...
R92:11013.499624,0.008747,11013.499674,11013.508422
R93:11013.628877,0.117992,11013.628969,11013.746976
R94:11013.713033,0.404774,11013.748192,11014.152967
R95:11013.753376,0.175048,11014.154342,11014.329399
R96:11013.848987,0.082609,11014.330704,11014.413315
R97:11014.002083,0.114795,11014.414189,11014.528986
R98:11014.006105,0.216275,11014.529818,11014.746099
R99:11014.205149,0.148173,11014.747400,11014.895574
R100:11014.434721,0.113487,11014.896507,11015.009995
R101:11014.866337,0.342518,11015.011088,11015.353607
R102:11015.126040,0.057307,11015.354958,11015.412265
R103:11015.248230,0.147669,11015.413292,11015.560963
R104:11015.268161,0.006677,11015.561940,11015.568618
R105:11015.512392,0.023756,11015.569446,11015.593212
R106:11015.629022,0.021687,11015.629084,11015.650772
R107:11015.739372,0.031755,11015.739434,11015.771192
R108:11015.873410,0.021935,11015.873473,11015.895409
R109:11015.917733,0.083549,11015.917788,11016.001339
R110:11015.926313,0.087755,11016.002145,11016.089901
R111:11015.954450,0.296387,11016.090741,11016.387149
R112:11016.033911,0.065824,11016.388479,11016.454312
R113:11016.070441,0.010019,11016.455304,11016.465323
R114:11016.211628,0.074818,11016.466109,11016.540935
R115:11016.282517,0.049959,11016.541645,11016.591604
R116:11016.603436,0.156817,11016.603493,11016.760311
R117:11016.649026,0.000270,11016.761498,11016.761769
R118:11016.712391,0.076042,11016.762556,11016.838599
R119:11016.759423,0.022203,11016.839490,11016.861701
R120:11016.958469,0.054968,11016.958538,11017.013507
R121:11017.083541,0.030315,11017.083598,11017.113914
R122:11017.156641,0.016798,11017.156694,11017.173493
R123:11017.295027,0.003477,11017.295131,11017.298608
R124:11017.403159,0.099223,11017.403216,11017.502460
R125:11017.462562,0.084593,11017.503395,11017.587998
R126:11017.587109,0.017009,11017.589354,11017.606363
R127:11017.634507,0.082217,11017.634564,11017.716800
R128:11017.738916,0.033171,11017.738974,11017.772146
R129:11017.884760,0.018826,11017.884842,11017.903670
R130:11018.034664,0.096201,11018.034729,11018.130931
R131:11018.316627,0.024785,11018.316724,11018.341517
R132:11018.434345,0.007644,11018.434406,11018.442051
R133:11018.518853,0.174891,11018.518939,11018.693844
R134:11018.552432,0.008202,11018.695114,11018.703317
R135:11018.681270,0.037399,11018.704142,11018.741549
R136:11018.694421,0.074955,11018.742214,11018.817170
R137:11018.789958,0.028398,11018.817907,11018.846306
R138:11018.912037,0.028351,11018.912144,11018.940497
R139:11019.078201,0.017534,11019.078262,11019.095805
R140:11019.122674,0.000299,11019.122732,11019.123031
R141:11019.584750,0.033557,11019.584827,11019.618393
R142:11019.779993,0.047799,11019.780071,11019.827881
R143:11019.803197,0.209371,11019.828888,11020.038259
R144:11020.157178,0.100075,11020.157248,11020.257324
R145:11020.318076,0.096473,11020.318157,11020.414632
R146:11020.334864,0.124036,11020.416278,11020.540316
R147:11020.388705,0.206683,11020.541440,11020.748124
R148:11020.707159,0.018966,11020.749394,11020.768361
R149:11020.927225,0.066181,11020.927303,11020.993485
R150:11021.102631,0.196097,11021.102693,11021.298792
R151:11021.141906,0.172609,11021.300069,11021.472698
R152:11021.409094,0.071541,11021.474026,11021.545568
R153:11021.485726,0.026674,11021.546459,11021.573133
R154:11021.505485,0.056505,11021.573846,11021.630352
R155:11021.727695,0.157508,11021.727762,11021.885272
R156:11021.796942,0.028665,11021.886797,11021.915463
R157:11021.873100,0.096048,11021.916607,11022.012674
R158:11021.895245,0.012477,11022.013774,11022.026253
R159:11022.039765,0.056509,11022.039819,11022.096329
R160:11022.142482,0.107356,11022.142578,11022.249935
R161:11022.344873,0.020915,11022.344940,11022.365856
R162:11022.366710,0.010772,11022.366752,11022.377525
R163:11022.443456,0.037248,11022.443519,11022.480768
R164:11022.460031,0.223892,11022.482097,11022.705991
R165:11022.503691,0.081093,11022.707236,11022.788330
R166:11022.769406,0.142038,11022.789384,11022.931436
R167:11022.970880,0.033994,11022.970937,11023.004932
R168:11023.047077,0.089615,11023.047179,11023.136795
R169:11023.102816,0.024969,11023.137802,11023.162772
R170:11023.207165,0.006276,11023.207223,11023.213500
R171:11023.225403,0.086823,11023.225455,11023.312280
R172:11023.238098,0.028338,11023.315543,11023.343882
R173:11023.288320,0.007964,11023.344870,11023.352836
R174:11023.333082,0.227135,11023.353557,11023.580693
R175:11023.395060,0.025709,11023.581866,11023.607577
R176:11023.492421,0.119546,11023.609317,11023.728864
R177:11023.611919,0.014259,11023.729950,11023.744210
R178:11023.686209,0.081884,11023.744946,11023.826831
R179:11023.924693,0.019416,11023.924863,11023.944281
R180:11024.005805,0.046289,11024.005860,11024.052151
R181:11024.096445,0.041793,11024.096498,11024.138292
R182:11024.293323,0.032879,11024.293400,11024.326280
R183:11024.324491,0.084827,11024.327210,11024.412037
R184:11024.469743,0.034405,11024.469823,11024.504229
R185:11024.935304,0.012189,11024.935391,11024.947582
R186:11025.188556,0.000452,11025.188630,11025.189084
R187:11025.247364,0.124078,11025.247421,11025.371499
R188:11025.417296,0.010149,11025.417351,11025.427501
R189:11025.455964,0.106380,11025.456063,11025.562450
R190:11025.678983,0.049684,11025.679044,11025.728730
R191:11025.684634,0.102558,11025.729890,11025.832448
R192:11026.162736,0.053521,11026.162827,11026.216350
R193:11026.189101,0.008219,11026.217562,11026.225782
R194:11026.411854,0.040226,11026.412028,11026.452257
R195:11026.423575,0.089198,11026.454226,11026.543425
R196:11026.463497,0.011768,11026.544347,11026.556117
R197:11026.647521,0.004575,11026.647588,11026.652164
R198:11026.653440,0.126507,11026.653570,11026.780078
R199:11026.721471,0.048700,11026.781142,11026.829852
R200:11026.852391,0.074226,11026.852457,11026.926684
R201:11026.866511,0.062901,11026.927787,11026.990689
R202:11026.962569,0.037441,11026.991918,11027.029360
R203:11027.063054,0.182978,11027.063112,11027.246092
R204:11027.103387,0.015509,11027.246951,11027.262461
R205:11027.175330,0.062168,11027.263238,11027.325408
R206:11027.279916,0.075569,11027.326708,11027.402278
R207:11027.387166,0.147569,11027.403155,11027.550728
R208:11027.416754,0.008672,11027.552120,11027.560794
R209:11027.424843,0.015492,11027.561902,11027.577395
R210:11027.710804,0.021294,11027.710888,11027.732184
R211:11027.783888,0.028638,11027.783945,11027.812584
R212:11027.978726,0.175501,11027.978834,11028.154337
R213:11028.027895,0.140575,11028.155664,11028.296241
R214:11028.074824,0.003084,11028.297425,11028.300509
R215:11028.194437,0.125520,11028.301197,11028.426717
R216:11028.227528,0.150710,11028.427608,11028.578319
R217:11028.336812,0.020813,11028.579341,11028.600155
R218:11028.377765,0.078991,11028.601289,11028.680280
R219:11028.402308,0.093560,11028.681250,11028.774811
R220:11028.415236,0.105920,11028.776255,11028.882185
R221:11028.584651,0.042734,11028.883159,11028.925902
R222:11028.609533,0.047431,11028.926965,11028.974410
R223:11028.651725,0.040613,11028.975402,11029.016043
R224:11028.680934,0.014008,11029.016808,11029.030816
R225:11028.765535,0.001224,11029.031528,11029.032753
R226:11028.855656,0.040128,11029.033366,11029.073580
R227:11028.908836,0.111429,11029.075531,11029.186963
R228:11028.949403,0.087404,11029.188352,11029.275757
R229:11028.982945,0.210052,11029.276700,11029.486754
R230:11029.072413,0.138300,11029.487944,11029.626246
R231:11029.201169,0.031158,11029.627328,11029.658487
R232:11029.334174,0.000502,11029.659426,11029.659929
R233:11029.449547,0.154777,11029.660930,11029.815716
R234:11029.534188,0.085763,11029.816650,11029.902426
R235:11029.641272,0.042667,11029.903584,11029.946253
R236:11029.722513,0.105744,11029.947293,11030.053058
R237:11029.772489,0.094385,11030.055901,11030.150288
R238:11029.952416,0.002787,11030.151135,11030.153923
R239:11029.970876,0.096456,11030.154788,11030.251245
R240:11029.978182,0.080404,11030.251987,11030.332411
R241:11030.001276,0.069912,11030.333397,11030.403318
R242:11030.135178,0.000477,11030.403957,11030.404435
R243:11030.136293,0.025269,11030.405386,11030.430656
R244:11030.176769,0.162400,11030.431517,11030.593938
R245:11030.295151,0.034797,11030.595435,11030.630233
R246:11030.317372,0.176004,11030.632263,11030.808268
R247:11030.439707,0.031313,11030.809521,11030.840841
R248:11030.557440,0.017177,11030.841591,11030.858768
R249:11030.797804,0.058341,11030.859467,11030.917809
R250:11030.816838,0.093829,11030.918539,11031.012369
R251:11031.013063,0.017675,11031.013319,11031.030995
R252:11031.273676,0.102034,11031.273751,11031.375787
R253:11031.329473,0.066062,11031.376795,11031.442858
R254:11031.555296,0.224617,11031.555359,11031.779984
R255:11031.704572,0.217625,11031.781206,11031.998851
R256:11031.734112,0.225779,11031.999803,11032.225584
R257:11031.823212,0.067019,11032.226778,11032.293809
R258:11031.899034,0.133972,11032.294798,11032.428772
R259:11032.210066,0.075219,11032.429793,11032.505022
R260:11032.397107,0.446682,11032.505836,11032.952518
R261:11032.516102,0.032697,11032.953629,11032.986339
R262:11032.821331,0.074129,11032.986994,11033.061142
R263:11033.051802,0.118692,11033.061862,11033.180566
R264:11033.164689,0.132026,11033.181458,11033.313485
R265:11033.330668,0.077275,11033.330713,11033.407990
R266:11033.364565,0.015222,11033.408792,11033.424019
